question,answer
Tell me about the Kiwi Martini cocktail.,"question Generate a cocktail with Kiwi Sugar Syrup Vodka Kiwi answer The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
What is in a Lazy Coconut Paloma?,"Lazy Coconut Paloma contains: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
What ingredients are in a Lazy Coconut Paloma?,"The ingredients for Lazy Coconut Paloma are: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
List the ingredients of a Lazy Coconut Paloma.,"Lazy Coconut Paloma uses: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
What's in the Lazy Coconut Paloma cocktail?,"The Lazy Coconut Paloma cocktail contains: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
Does a Lazy Coconut Paloma contain Coconut Liqueur?,Yes Lazy Coconut Paloma includes Coconut Liqueur.
How to prepare a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How do you make a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How is a Lazy Coconut Paloma made?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
What are the steps to make a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How do I serve a Lazy Coconut Paloma?,Serve a Lazy Coconut Paloma in a Highball glass.
Is a Lazy Coconut Paloma alcoholic?,Lazy Coconut Paloma is listed as: Alcoholic.
Does Lazy Coconut Paloma contain alcohol?,Lazy Coconut Paloma is listed as: Alcoholic.
What category is a Lazy Coconut Paloma?,Lazy Coconut Paloma is in the category: Cocktail.
"Is Lazy Coconut Paloma a cocktail, shot, or something else?",Lazy Coconut Paloma is in the category: Cocktail.
What glass is a Lazy Coconut Paloma served in?,Lazy Coconut Paloma is served in a Highball glass.
What glassware do I need for a Lazy Coconut Paloma?,You need a Highball glass for a Lazy Coconut Paloma.
Tell me about the Lazy Coconut Paloma cocktail.,question Generate a cocktail with Coconut Liqueur Grapefruit Juice Soda Water answer Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
What is in a Long Island Iced Tea?,"Long Island Iced Tea contains: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
What ingredients are in a Long Island Iced Tea?,"The ingredients for Long Island Iced Tea are: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
List the ingredients of a Long Island Iced Tea.,"Long Island Iced Tea uses: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
What's in the Long Island Iced Tea cocktail?,"The Long Island Iced Tea cocktail contains: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
Does a Long Island Iced Tea contain Vodka?,Yes Long Island Iced Tea includes Vodka.
How to prepare a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How do you make a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How is a Long Island Iced Tea made?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
What are the steps to make a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How do I serve a Long Island Iced Tea?,Serve a Long Island Iced Tea in a Highball glass.
Is a Long Island Iced Tea alcoholic?,Long Island Iced Tea is listed as: Alcoholic.
Does Long Island Iced Tea contain alcohol?,Long Island Iced Tea is listed as: Alcoholic.
What category is a Long Island Iced Tea?,Long Island Iced Tea is in the category: Ordinary Drink.
"Is Long Island Iced Tea a cocktail, shot, or something else?",Long Island Iced Tea is in the category: Ordinary Drink.
What glass is a Long Island Iced Tea served in?,Long Island Iced Tea is served in a Highball glass.
What glassware do I need for a Long Island Iced Tea?,You need a Highball glass for a Long Island Iced Tea.
Tell me about the Long Island Iced Tea cocktail.,question Generate a cocktail with Vodka Tequila Light rum Gin Coca-Cola Lemon peel answer Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
What is in a Mojito?,"Mojito contains: Light rum, Lime, Sugar, Mint, Soda water."
What ingredients are in a Mojito?,"The ingredients for Mojito are: Light rum, Lime, Sugar, Mint, Soda water."
List the ingredients of a Mojito.,"Mojito uses: Light rum, Lime, Sugar, Mint, Soda water."
What's in the Mojito cocktail?,"The Mojito cocktail contains: Light rum, Lime, Sugar, Mint, Soda water."
Does a Mojito contain Light rum?,Yes Mojito includes Light rum.
How to prepare a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How do you make a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How is a Mojito made?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
What are the steps to make a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How do I serve a Mojito?,Serve a Mojito in a Highball glass.
Is a Mojito alcoholic?,Mojito is listed as: Alcoholic.
Does Mojito contain alcohol?,Mojito is listed as: Alcoholic.
What category is a Mojito?,Mojito is in the category: Cocktail.
"Is Mojito a cocktail, shot, or something else?",Mojito is in the category: Cocktail.
What glass is a Mojito served in?,Mojito is served in a Highball glass.
What glassware do I need for a Mojito?,You need a Highball glass for a Mojito.
Tell me about the Mojito cocktail.,question Generate a cocktail with Light rum Lime Sugar Mint Soda water answer Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
What is in a Martini?,"Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What ingredients are in a Martini?,"The ingredients for Martini are: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
List the ingredients of a Martini.,"Martini uses: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What's in the Martini cocktail?,"The Martini cocktail contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Does a Martini contain Gin?,Yes Martini includes Gin.
How to prepare a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do you make a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How is a Martini made?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What are the steps to make a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do I serve a Martini?,Serve a Martini in a Cocktail glass.
Is a Martini alcoholic?,Martini is listed as: Alcoholic.
Does Martini contain alcohol?,Martini is listed as: Alcoholic.
What category is a Martini?,Martini is in the category: Cocktail.
"Is Martini a cocktail, shot, or something else?",Martini is in the category: Cocktail.
What glass is a Martini served in?,Martini is served in a Cocktail glass.
What glassware do I need for a Martini?,You need a Cocktail glass for a Martini.
Tell me about the Martini cocktail.,"question Generate a cocktail with Gin Dry Vermouth Olive answer Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What is in a Manhattan?,"Manhattan contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
What ingredients are in a Manhattan?,"The ingredients for Manhattan are: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
List the ingredients of a Manhattan.,"Manhattan uses: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
What's in the Manhattan cocktail?,"The Manhattan cocktail contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
Does a Manhattan contain Sweet Vermouth?,Yes Manhattan includes Sweet Vermouth.
How to prepare a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do you make a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How is a Manhattan made?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
What are the steps to make a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do I serve a Manhattan?,Serve a Manhattan in a Cocktail glass.
Is a Manhattan alcoholic?,Manhattan is listed as: Alcoholic.
Does Manhattan contain alcohol?,Manhattan is listed as: Alcoholic.
What category is a Manhattan?,Manhattan is in the category: Cocktail.
"Is Manhattan a cocktail, shot, or something else?",Manhattan is in the category: Cocktail.
What glass is a Manhattan served in?,Manhattan is served in a Cocktail glass.
What glassware do I need for a Manhattan?,You need a Cocktail glass for a Manhattan.
Tell me about the Manhattan cocktail.,"question Generate a cocktail with Sweet Vermouth Bourbon Angostura bitters Ice Maraschino cherry Orange peel answer Stirred over ice, strained into a chilled glass, garnished, and served up."
What is in a Margarita?,"Margarita contains: Tequila, Triple sec, Lime juice, Salt."
What ingredients are in a Margarita?,"The ingredients for Margarita are: Tequila, Triple sec, Lime juice, Salt."
List the ingredients of a Margarita.,"Margarita uses: Tequila, Triple sec, Lime juice, Salt."
What's in the Margarita cocktail?,"The Margarita cocktail contains: Tequila, Triple sec, Lime juice, Salt."
Does a Margarita contain Tequila?,Yes Margarita includes Tequila.
How to prepare a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How do you make a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How is a Margarita made?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
What are the steps to make a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How do I serve a Margarita?,Serve a Margarita in a Cocktail glass.
Is a Margarita alcoholic?,Margarita is listed as: Alcoholic.
Does Margarita contain alcohol?,Margarita is listed as: Alcoholic.
What category is a Margarita?,Margarita is in the category: Ordinary Drink.
